"","ID","Genes","Promoter","CpGs","DE"
"155","""13_31772572""","B3GALTL",TRUE,FALSE,FALSE
"156","""14_23647194""","SLC7A8",TRUE,FALSE,FALSE
"157","""14_23654308""","C14orf164",TRUE,FALSE,FALSE
"158","""14_23758978""","BCL2L2;HOMEZ;PPP1R3E;RP11-124D2.7",TRUE,FALSE,FALSE
"159","""14_23775289""","BCL2L2;BCL2L2-PABPN1",TRUE,FALSE,FALSE
"160","""14_23787959""","AL049829.1;PABPN1",TRUE,FALSE,FALSE
"161","""14_23838508""","IL25",TRUE,FALSE,FALSE
"162","""14_102783055""","ZNF839",TRUE,FALSE,FALSE
"163","""14_103239904""","RP11-661D19.3;TRAF3",TRUE,FALSE,FALSE
"164","""14_103364022""","AMN",TRUE,FALSE,FALSE
"165","""16_277802""","ITFG3;LUC7L;Z69890.1",TRUE,FALSE,FALSE
"166","""16_1116993""","C1QTNF8;SSTR5-AS1;SSTR5",TRUE,FALSE,FALSE
"167","""16_1726640""","HN1L",TRUE,FALSE,FALSE
"168","""16_2030662""","AC005606.14;AC005606.1;GFER;NOXO1",TRUE,FALSE,FALSE
"169","""16_2183210""","MIR3180-5;PKD1",TRUE,FALSE,FALSE
"170","""16_2190404""","RAB26;RP11-304L19.5;SNORD60",TRUE,FALSE,FALSE
"171","""16_2205380""","TRAF7",TRUE,FALSE,FALSE
"172","""16_4896332""","GLYR1;UBN1",TRUE,FALSE,FALSE
"173","""16_5005567""","PPL;SEC14L5",TRUE,FALSE,FALSE
"174","""16_30064345""","ALDOA",TRUE,FALSE,FALSE
"175","""16_30077830""","ALDOA;PPP4C",TRUE,FALSE,FALSE
"176","""16_30114800""","GDPD3;RP11-455F5.4",TRUE,FALSE,FALSE
"177","""16_30378870""","MYLPF;TBC1D10B",TRUE,FALSE,FALSE
"178","""16_30383430""","MYLPF",TRUE,FALSE,FALSE
"179","""16_30386906""","MYLPF;ZNF48",TRUE,FALSE,FALSE
"180","""16_30392323""","SEPT1",TRUE,FALSE,FALSE
"181","""16_30430264""","SNORA42",TRUE,FALSE,FALSE
"182","""16_30440360""","DCTPP1",TRUE,FALSE,FALSE
"183","""16_30563264""","AC002310.13;ZNF688;ZNF764",TRUE,FALSE,FALSE
"184","""16_30705135""","RNU6-1043P;RP11-146F11.1;SRCAP",TRUE,FALSE,FALSE
"185","""16_30933762""","FBXL19-AS1;FBXL19",TRUE,FALSE,FALSE
"186","""16_30984589""","AC135048.1;HSD3B7;STX1B",TRUE,FALSE,FALSE
"187","""16_31072183""","AC135050.5;ZNF668",TRUE,FALSE,FALSE
"188","""16_31083392""","ZNF668",TRUE,FALSE,FALSE
"189","""16_31085710""","ZNF646",TRUE,FALSE,FALSE
"190","""16_31087387""","PRSS53;RP11-196G11.1;VKORC1",TRUE,FALSE,FALSE
"191","""16_31110532""","AC135050.1;BCKDK",TRUE,FALSE,FALSE
"192","""16_31191436""","FUS;RP11-388M20.6",TRUE,FALSE,TRUE
"193","""16_31209754""","C16orf98;PYCARD",TRUE,FALSE,FALSE
"194","""16_31227702""","PYDC1",TRUE,FALSE,FALSE
"195","""16_31278701""","RNU7-199P",TRUE,FALSE,FALSE
"196","""16_31359193""","ITGAX;RP11-120K18.3",TRUE,FALSE,FALSE
"197","""16_31403064""","ITGAD",TRUE,FALSE,FALSE
"198","""16_31439056""","COX6A2",TRUE,FALSE,FALSE
"199","""16_31466454""","ARMC5",TRUE,FALSE,FALSE
"200","""16_31477155""","SLC5A2;TGFB1I1",TRUE,FALSE,FALSE
"201","""16_31497401""","AC026471.6;C16orf58;RP11-452L6.7;SLC5A2",TRUE,FALSE,FALSE
"202","""16_31879803""","RP11-170L3.2;ZNF267",TRUE,FALSE,FALSE
"203","""16_83839037""","HSBP1;RP11-483P21.2",TRUE,FALSE,FALSE
"204","""16_83982663""","OSGIN1",TRUE,FALSE,FALSE
"205","""16_83993957""","NECAB2",TRUE,FALSE,FALSE
"206","""16_84136314""","MBTPS1;RP11-505K9.1",TRUE,FALSE,FALSE
"207","""16_84225815""","ADAD2;RP11-486L19.2",TRUE,FALSE,FALSE
"208","""16_84650206""","COTL1",TRUE,FALSE,FALSE
"209","""16_84677967""","KLHL36",TRUE,FALSE,FALSE
"210","""16_84728548""","USP10",TRUE,FALSE,FALSE
"211","""17_2495524""","PAFAH1B1",TRUE,FALSE,FALSE
"212","""17_7011836""","ASGR2",TRUE,FALSE,FALSE
"213","""17_7082582""","ASGR1",TRUE,FALSE,FALSE
"214","""17_7114907""","ACADVL;DLG4",TRUE,FALSE,FALSE
"215","""17_7125388""","ACADVL;MIR324",TRUE,FALSE,FALSE
"216","""17_7148159""","CTDNEP1;ELP5",TRUE,FALSE,FALSE
"217","""17_7182998""","RP1-4G17.2;SLC2A4;YBX2",TRUE,FALSE,FALSE
"218","""17_7203975""","EIF5A;GPS2",TRUE,FALSE,FALSE
"219","""17_7238218""","ACAP1",TRUE,FALSE,FALSE
"220","""17_7253060""","ACAP1;KCTD11",TRUE,FALSE,FALSE
"221","""17_7466839""","EIF4A1;SENP3;SNORA67",TRUE,FALSE,FALSE
"222","""17_73746011""","GALK1;ITGB4",TRUE,FALSE,FALSE
"223","""18_797520""","RNU1-109P",TRUE,FALSE,FALSE
"224","""18_803627""","RP11-672L10.6;YES1",TRUE,FALSE,FALSE
"225","""18_2571258""","METTL4;NDC80",TRUE,FALSE,FALSE
"226","""18_2770183""","snoU13",TRUE,FALSE,FALSE
"227","""18_2845960""","EMILIN2",TRUE,FALSE,FALSE
"228","""18_3007049""","LPIN2",TRUE,FALSE,FALSE
"229","""18_5294871""","ZBTB14",TRUE,FALSE,FALSE
"230","""18_9136397""","ANKRD12;RP11-143J12.2",TRUE,FALSE,FALSE
"231","""19_2533003""","TCEB1P28",TRUE,FALSE,FALSE
"232","""19_10043738""","OLFM2",TRUE,FALSE,FALSE
"233","""19_10215285""","EIF3G;P2RY11;PPAN;PPAN-P2RY11;SNORD105B;SNORD105",TRUE,FALSE,FALSE
"234","""19_10228245""","EIF3G",TRUE,FALSE,FALSE
"235","""19_10305213""","DNMT1",TRUE,FALSE,FALSE
"236","""19_10319223""","CTD-2369P2.2;DNMT1;MIR4322;S1PR2",TRUE,FALSE,FALSE
"237","""19_10397276""","CTD-2369P2.8;ICAM4",TRUE,FALSE,FALSE
"238","""19_10399834""","ICAM5;ZGLP1",TRUE,FALSE,FALSE
"239","""19_10420118""","CTD-2369P2.10;CTD-2369P2.12;FDX1L;RAVER1;ZGLP1",TRUE,FALSE,FALSE
"240","""19_10440403""","ICAM3;RAVER1",TRUE,FALSE,FALSE
"241","""19_10482404""","TYK2",TRUE,FALSE,FALSE
"242","""19_10511971""","CDC37;MIR1181",TRUE,FALSE,FALSE
"243","""19_10626941""","S1PR5",TRUE,FALSE,FALSE
"244","""19_10667442""","KRI1",TRUE,FALSE,FALSE
"245","""19_10677260""","CDKN2D",TRUE,FALSE,FALSE
"246","""19_10708117""","CTC-539A10.7;SLC44A2",TRUE,FALSE,FALSE
"247","""19_10761038""","ILF3-AS1;ILF3",TRUE,FALSE,FALSE
"248","""19_12691443""","CTD-2192J16.20;ZNF490;ZNF791",TRUE,FALSE,FALSE
"249","""19_12813105""","SNORD41;TNPO2",TRUE,FALSE,FALSE
"250","""19_37340147""","ZNF345;ZNF790",TRUE,FALSE,FALSE
"251","""2_3621510""","RPS7",TRUE,FALSE,FALSE
"252","""2_7056902""","RNF144A-AS1;RNF144A",TRUE,FALSE,FALSE
"253","""2_17926946""","GEN1;SMC6",TRUE,FALSE,FALSE
"254","""2_23746714""","AC011239.1",TRUE,FALSE,FALSE
"255","""2_30452812""","LBH",TRUE,FALSE,FALSE
"256","""2_30654269""","AC073255.1",TRUE,FALSE,FALSE
"257","""2_30665831""","LCLAT1",TRUE,FALSE,FALSE
"258","""2_32280111""","SPAST",TRUE,FALSE,FALSE
"259","""2_32502385""","YIPF4",TRUE,FALSE,FALSE
"260","""2_33822817""","FAM98A",TRUE,FALSE,FALSE
"261","""2_103352757""","MFSD9;TMEM182",TRUE,FALSE,FALSE
"262","""2_105857989""","AC012360.1;GPR45;RP11-332H14.1",TRUE,FALSE,FALSE
"263","""2_241831795""","C2orf54",TRUE,FALSE,FALSE
"264","""2_241897239""","AC104809.3;AC104809.4",TRUE,FALSE,FALSE
"265","""2_242563102""","ATG4B;THAP4",TRUE,FALSE,FALSE
