"baitName","oeName"
"CIDEB;LTB4R2;LTB4R;NOP9","CHMP4A;TM9SF1"
"CIDEB;LTB4R2;LTB4R;NOP9","AL136419.6;MDP1;NEDD8"
"CIDEB;LTB4R2;LTB4R;NOP9","GMPR2;NEDD8;NEDD8-MDP1"
"CIDEB;LTB4R2;LTB4R;NOP9","GMPR2;TINF2"
"CIDEB;LTB4R2;LTB4R;NOP9","ADCY4"
"CIDEB;LTB4R2;LTB4R;NOP9","CBLN3;KHNYN"
"CIDEB;LTB4R2;LTB4R;NOP9","CBLN3;KHNYN"
"CIDEB;LTB4R2;LTB4R;NOP9","SDR39U1"
"ARF6","AL139099.1;LRR1;RPS29"
"ARF6","MGAT2;RP11-649E7.5;RPL36AL"
"ARF6","C14orf182;RP11-58E21.3"
"ARF6","RP11-58E21.3"
"ARF6","C14orf183;RP11-58E21.5;RP11-58E21.7"
"ARF6","VCPKMT"
"ARF6","SOS2"
"ARF6","ATL1;MAP4K5"
"ARF6","NIN;RP11-286O18.1"
"ARF6","NIN"
"ARF6","PYGL;RP11-218E20.5"
"ARF6","ERO1L"
"ZBTB1;ZBTB25","PPP2R5E"
"ZBTB1;ZBTB25","ESR2;RP11-544I20.2"
"NEK9;RP11-950C14.7","TMED10"
"NEK9;RP11-950C14.7","RNU4ATAC14P"
"NEK9;RP11-950C14.7","RP11-293M10.2"
"NEK9;RP11-950C14.7","RP11-293M10.1"
"NEK9;RP11-950C14.7","FOS"
"NEK9;RP11-950C14.7","RP11-293M10.4;RP11-293M10.5"
"NEK9;RP11-950C14.7","JDP2;RP11-293M10.6"
"NEK9;RP11-950C14.7","BATF"
"NEK9;RP11-950C14.7","AC007182.6;FLVCR2"
"NEK9;RP11-950C14.7","C14orf1;TTLL5"
"GPR65","AL162311.1;RALGAPA1"
"GPR65","FBXO33"
"GPR65","FAM179B;KLHL28"
"GPR65","PCNXL4;RP11-16B13.1"
"GPR65","ERH;SLC39A9"
"GPR65","TSHR"
"GPR65","GTF2A1"
"GPR65","GALC"
"GPR65","SPATA7"
"GPR65","PTPN21"
"GPR65","ZC3H14"
"GPR65","RNU4-92P"
"GPR65","EFCAB11;RP11-33N16.3;TDP1"
"GPR65","AL512791.1"
"GPR65","CALM1"
"GPR65","OTUB2"
